Time                Potential
0.000000000000000E+000	2.990644454956055E+000
2.777777707605209E-004	2.990644454956055E+000
5.555555415210418E-004	2.990663528442383E+000
8.333333122815626E-004	2.990472555160522E+000
1.111111083042084E-003	2.990606307983398E+000
1.388888853802604E-003	2.990549087524414E+000
1.666666624563125E-003	2.990625381469727E+000
1.944444395323646E-003	2.990529775619507E+000
2.222222166084167E-003	2.990663528442383E+000
2.499999936844688E-003	2.990549087524414E+000
2.777777707605209E-003	2.990701675415039E+000
3.055555478365730E-003	2.990644454956055E+000
3.333333249126250E-003	2.990491628646851E+000
3.611111019886771E-003	2.990606307983398E+000
3.888888790647293E-003	2.990453481674194E+000
4.166666561407813E-003	2.990663528442383E+000
4.444444332168334E-003	2.990319967269897E+000
4.722222102928855E-003	2.990529775619507E+000
4.999999873689376E-003	2.990377187728882E+000
5.277777644449897E-003	2.990377187728882E+000
5.555555415210417E-003	2.990358114242554E+000
5.833333185970939E-003	2.990377187728882E+000
6.111110956731459E-003	2.990415334701538E+000
6.388888727491980E-003	2.990300655364990E+000
6.666666498252501E-003	2.990434408187866E+000
6.944444269013022E-003	2.990396261215210E+000
7.222222039773542E-003	2.990281581878662E+000
7.499999810534064E-003	2.990205287933350E+000
7.777777581294585E-003	2.990339040756226E+000
8.055555352055106E-003	2.990358114242554E+000
8.333333122815626E-003	2.990300655364990E+000
8.611110893576147E-003	2.990453481674194E+000
8.888888664336668E-003	2.990281581878662E+000
9.166666435097190E-003	2.990358114242554E+000
9.444444205857709E-003	2.990281581878662E+000
9.722221976618230E-003	2.990377187728882E+000
9.999999747378752E-003	2.990377187728882E+000
1.027777751813927E-002	2.990358114242554E+000
1.055555528889979E-002	2.990434408187866E+000
1.083333305966031E-002	2.990300655364990E+000
1.111111083042084E-002	2.990396261215210E+000
1.138888860118136E-002	2.990300655364990E+000
1.166666637194188E-002	2.990358114242554E+000
1.194444414270240E-002	2.990300655364990E+000
1.222222191346292E-002	2.990434408187866E+000
1.249999968422344E-002	2.990319967269897E+000
1.277777745498396E-002	2.990415334701538E+000
1.305555522574448E-002	2.990319967269897E+000
1.333333299650500E-002	2.990377187728882E+000
1.361111076726552E-002	2.990396261215210E+000
1.388888853802604E-002	2.990472555160522E+000
1.416666630878657E-002	2.990339040756226E+000
1.444444407954708E-002	2.990262508392334E+000
1.472222185030761E-002	2.990396261215210E+000
1.499999962106813E-002	2.990377187728882E+000
1.527777739182865E-002	2.990262508392334E+000
1.555555516258917E-002	2.990339040756226E+000
1.583333293334969E-002	2.990300655364990E+000
1.611111070411021E-002	2.990358114242554E+000
1.638888847487073E-002	2.990243434906006E+000
1.666666624563125E-002	2.990358114242554E+000
1.694444401639177E-002	2.990377187728882E+000
1.722222178715229E-002	2.990148067474365E+000
1.749999955791282E-002	2.990281581878662E+000
1.777777732867334E-002	2.990167140960693E+000
1.805555509943386E-002	2.990224361419678E+000
1.833333287019438E-002	2.990262508392334E+000
1.861111064095490E-002	2.990109920501709E+000
1.888888841171542E-002	2.990128993988037E+000
1.916666618247594E-002	2.990090608596802E+000
1.944444395323646E-002	2.989938020706177E+000
1.972222172399698E-002	2.990167140960693E+000
1.999999949475750E-002	2.990071535110474E+000
2.027777726551802E-002	2.990090608596802E+000
2.055555503627855E-002	2.990090608596802E+000
2.083333280703907E-002	2.990148067474365E+000
2.111111057779959E-002	2.990128993988037E+000
2.138888834856011E-002	2.989995241165161E+000
2.166666611932063E-002	2.990109920501709E+000
2.194444389008115E-002	2.990167140960693E+000
2.222222166084167E-002	2.990300655364990E+000
2.249999943160219E-002	2.990243434906006E+000
2.277777720236271E-002	2.990186214447021E+000
2.305555497312323E-002	2.990128993988037E+000
2.333333274388376E-002	2.990090608596802E+000
2.361111051464428E-002	2.990224361419678E+000
2.388888828540479E-002	2.990243434906006E+000
2.416666605616532E-002	2.990243434906006E+000
2.444444382692584E-002	2.990148067474365E+000
2.472222159768636E-002	2.990262508392334E+000
2.499999936844688E-002	2.990148067474365E+000
2.527777713920740E-002	2.990090608596802E+000
2.555555490996792E-002	2.990167140960693E+000
2.583333268072844E-002	2.990243434906006E+000
2.611111045148896E-002	2.990205287933350E+000
2.638888822224948E-002	2.990224361419678E+000
2.666666599301000E-002	2.990128993988037E+000
2.694444376377052E-002	2.990167140960693E+000
2.722222153453105E-002	2.990109920501709E+000
2.749999930529157E-002	2.990205287933350E+000
2.777777707605209E-002	2.990109920501709E+000
2.805555484681261E-002	2.990052461624146E+000
2.833333261757313E-002	2.990148067474365E+000
2.861111038833365E-002	2.990224361419678E+000
2.888888815909417E-002	2.990052461624146E+000
2.916666592985469E-002	2.990167140960693E+000
2.944444370061521E-002	2.990109920501709E+000
2.972222147137573E-002	2.990205287933350E+000
2.999999924213625E-002	2.990128993988037E+000
3.027777701289678E-002	2.990071535110474E+000
3.055555478365730E-002	2.990071535110474E+000
3.083333255441782E-002	2.990071535110474E+000
3.111111032517834E-002	2.989957094192505E+000
3.138888809593886E-002	2.989995241165161E+000
3.166666586669938E-002	2.989842414855957E+000
3.194444363745990E-002	2.989918947219849E+000
3.222222140822043E-002	2.989804267883301E+000
3.249999917898094E-002	2.989880800247192E+000
3.277777694974146E-002	2.989804267883301E+000
3.305555472050199E-002	2.989899873733521E+000
3.333333249126250E-002	2.989842414855957E+000
3.361111026202303E-002	2.989842414855957E+000
3.388888803278355E-002	2.989766120910645E+000
3.416666580354407E-002	2.989727973937988E+000
3.444444357430459E-002	2.989766120910645E+000
3.472222134506511E-002	2.989766120910645E+000
